413,"Plextor DVD +/- RW 16x",,,
413,"Sony DVD +/- RW 16x",,,
414,"12 GB 1066MHz DDR3",,,
415,"Slim CD / floppy combo",,,
415,"24 GB 1066MHz DDR3 (6 x 4GB)",,,
416,"CD Writer Artec 52x24x52 IDE CD-RW 2MB Blk",,,
416,"CD Reader Artec Super56 CDROM IDE 128KB",,,
420,"1 GB 1800MHz DDR3",,,
420,"Tape Drive AIT-3 Sony  (2U chassis req)",,,
421,"2 GB 1800MHz DDR3",,,
421,"Tape Drive DDS-4 Sony Storage  (2U chassis req)",,,
422,"Tape Drive Quantum/Seagate DAT72  (2U chassis req)",,,
422,"4 GB 1800MHz DDR3",,,
423,"8 GB 1800MHz DDR3",,,
423,"Tape Drive HP Storageworks DAT72  (2U chassis req)",,,
424,"12 GB 1800MHz DDR3",,,
424,"Tape Drive IBM DAT72 SCSI Interface  (2U chassis)",,,
425,"Tape Drive DLT-V4 Quantum  (2U chassis req)",,,
425,"24 GB 1800MHz DDR3 ",,,
426,"Tape Drive HP LTO2 200/400GB ",,,
427,"Tape Drive HP LTO3 400/800GB ",,,
430,"Tapes - set of two, LTO3 400/800GB",,,
430,"Tapes - set of two, LTO2 200/400GB",,,
430,"1 GB DDR3-1600MHz ",,,
431,"2 GB DDR3-1600MHz",,,
432,"4 GB DDR3-1600MHz",,,
433,"8 GB DDR3-1600MHz",,,
434,"12 GB DDR3-1600MHz",,,
470,"Thermaltake Ibox storage compartment",,,
471,"Thermaltake X-Ray Beverage holder / Cig lighter",,,
500,"1 GB DDR3 ECC/REG 1066MHz",,,
501,"3.5"" 1.44 MB Floppy Drive",,,
501,"2 GB DDR3 ECC/REG 1066MHz",,,
502,"4 GB DDR3 ECC/REG 1066MHz",,,
502,"Slim 1.44MB Floppy Drive",,,
503,"8 GB DDR3 ECC/REG 1066MHz",,,
504,"ZIP Drive 250MB",,,
504,"12 GB DDR3 ECC/REG 1066MHz",,,
505,"Internal 7-in-1 Card Reader",,,
505,"24 GB DDR3 ECC/REG 1066MHz ",,,
505,"Internal 25-in-1 Card Reader (MS,CF, SD/MMC/SM)",,,
505,"Internal 5-in-1 Card Reader ",,,
506,"1 GB DDR3 ECC/REG 1333MHz",,,
506,"LS 120 Drive",,,
507,"2 GB DDR3 ECC/REG 1333MHz",,,
508,"4 GB DDR3 ECC/REG 1333MHz",,,
509,"8 GB DDR3 ECC/REG 1333MHz",,,
510,"IDE Flash Module 1GB",,,
510,"12 GB DDR3 ECC/REG 1333MHz",,,
511,"24 GB DDR3 ECC/REG 1333MHz",,,
511,"IDE Flash Module 2GB",,,
512,"IDE Flash Module 4GB",,,
513,"IDE Flash Module 8GB",,,
520,"Lian Li Thermal Monitor",,,
600,"integrated on motherboard",550,799,"NIC options, Network and Storage PCI cards"
601,"integrated Intel on motherboard",,,
610,"Single port 10/100 Network card",,,
610,"Quad Port Intel GbE Network card",,,
610,"Dual port Intel GbE Network card",,,
610,"Single port GBe Network card",,,
612,"Single Intel 10/100 Network card",,,
614,"4 port Network card 10/100/1000",,,
614,"4 port Network card 10/100 32-bit routerboard",,,
615,"LSI 1600 Enterprise 128MB 4 Channel RAID",,,
620,"Intel PILA-8460B",,,
630,"Adaptec 2005S U160 PCI SCSI RAID 64/66MHz 0-chan",,,
630,"Adaptec 1210SA SATA RAID 32/66MHz 2-port card",,,
630,"HighPoint RocketRAID 1720 2-Port RAID Controller",,,
630,"Adaptec 2810SA SATA RAID 8-port card Hot-swap",,,
630,"Adaptec 2000S U160 PCI SCSI RAID 64/66MHz 0-chan",,,
630,"Adaptec 2200S U320 PCI SCSI RAID card 2-channel",,,
630,"Adaptec 2010S U320 PCI SCSI RAID card 0-channel",,,
630,"Adaptec 1200A ATA RAID PCI 32/33 MHz 2-chan",,,
630,"Adaptec 2120S U320 PCI SCSI RAID card 1-channel",,,
631,"Adaptec 2410SA SATA RAID 64/66MHz 4-port RH/SuSE",,,
